date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:12	142/142	---M-Z	200	added ('OK')	text/plain	etag:%22b6-5e2ccb9de6c8b-gzip%22	https://nutz.in/robots.txt		(from )
18:11:13	71696/71696	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:12%20GMT	https://nutz.in/	/Users/ruban/websites/nutzclone/nutz.in/index.html	(from )
18:11:14	108861/108861	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:13%20GMT	https://nutz.in/safari-pinned-tab.svg	/Users/ruban/websites/nutzclone/nutz.in/safari-pinned-tab.html	(from https://nutz.in/)
18:11:14	2937/2937	---M-Z	200	added ('OK')	text/css	etag:%22b79-5e2ccb9de2e0b-gzip%22	https://nutz.in/assets/vendor/simplebar/dist/simplebar.min.css	/Users/ruban/websites/nutzclone/nutz.in/assets/vendor/simplebar/dist/simplebar.min.css	(from https://nutz.in/)
18:11:15	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5e2ccb9de4d4b-gzip%22	https://nutz.in/assets/vendor/tiny-slider/dist/tiny-slider.css	/Users/ruban/websites/nutzclone/nutz.in/assets/vendor/tiny-slider/dist/tiny-slider.css	(from https://nutz.in/)
18:11:16	20984/20984	---M-Z	200	added ('OK')	text/css	etag:%2251f8-5e2ccb9ddff2c-gzip%22	https://nutz.in/assets/vendor/lightgallery.js/dist/css/lightgallery.min.css	/Users/ruban/websites/nutzclone/nutz.in/assets/vendor/lightgallery.js/dist/css/lightgallery.min.css	(from https://nutz.in/)
18:11:18	363337/363337	---M-Z	200	added ('OK')	text/css	etag:%2258b49-5e2ccb9da848f-gzip%22	https://nutz.in/assets/css/theme.min.css	/Users/ruban/websites/nutzclone/nutz.in/assets/css/theme.min.css	(from https://nutz.in/)
18:11:19	28623/28623	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:18%20GMT	https://nutz.in/contact	/Users/ruban/websites/nutzclone/nutz.in/contact.html	(from https://nutz.in/)
18:11:20	65781/65781	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:19%20GMT	https://nutz.in/about	/Users/ruban/websites/nutzclone/nutz.in/about.html	(from https://nutz.in/)
18:11:21	84271/84271	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:20%20GMT	https://nutz.in/portfolio	/Users/ruban/websites/nutzclone/nutz.in/portfolio.html	(from https://nutz.in/)
18:11:22	25790/25790	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:21%20GMT	https://nutz.in/GraphicDesign	/Users/ruban/websites/nutzclone/nutz.in/GraphicDesign.html	(from https://nutz.in/)
18:11:23	240165/240165	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:22%20GMT	https://nutz.in/Development	/Users/ruban/websites/nutzclone/nutz.in/Development.html	(from https://nutz.in/)
18:11:24	26904/26904	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:23%20GMT	https://nutz.in/security	/Users/ruban/websites/nutzclone/nutz.in/security.html	(from https://nutz.in/)
18:11:25	24198/24198	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:24%20GMT	https://nutz.in/training	/Users/ruban/websites/nutzclone/nutz.in/training.html	(from https://nutz.in/)
18:11:26	31406/31406	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:25%20GMT	https://nutz.in/products	/Users/ruban/websites/nutzclone/nutz.in/products.html	(from https://nutz.in/)
18:11:27	1428/1428	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22594-5e49fb54ffa21%22	https://nutz.in/assets/products/sportswander.svg	/Users/ruban/websites/nutzclone/nutz.in/assets/products/sportswander.svg	(from https://nutz.in/)
18:11:28	1291/1291	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2250b-5e2ccb9ddc0ac%22	https://nutz.in/assets/products/meshit.svg	/Users/ruban/websites/nutzclone/nutz.in/assets/products/meshit.svg	(from https://nutz.in/)
18:11:29	3534/3534	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dce-5e2ccb9ddc0ac%22	https://nutz.in/assets/products/nutcommerz.svg	/Users/ruban/websites/nutzclone/nutz.in/assets/products/nutcommerz.svg	(from https://nutz.in/)
18:11:30	31645/31645	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:29%20GMT	https://nutz.in/blogs	/Users/ruban/websites/nutzclone/nutz.in/blogs.html	(from https://nutz.in/)
18:11:31	148860/148860	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:30%20GMT	https://nutz.in/blogCategory/EthicalHacking	/Users/ruban/websites/nutzclone/nutz.in/blogCategory/EthicalHacking.html	(from https://nutz.in/)
18:11:32	148860/148860	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:31%20GMT	https://nutz.in/blogCategory/Marketing	/Users/ruban/websites/nutzclone/nutz.in/blogCategory/Marketing.html	(from https://nutz.in/)
18:11:33	148860/148860	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:32%20GMT	https://nutz.in/blogCategory/Training	/Users/ruban/websites/nutzclone/nutz.in/blogCategory/Training.html	(from https://nutz.in/)
18:11:34	148860/148860	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:33%20GMT	https://nutz.in/blogCategory/Development	/Users/ruban/websites/nutzclone/nutz.in/blogCategory/Development.html	(from https://nutz.in/)
18:11:35	31645/31645	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202022%2010:11:34%20GMT	https://nutz.in/blogCategory/Design	/Users/ruban/websites/nutzclone/nutz.in/blogCategory/Design.html	(from https://nutz.in/)
18:11:36	5648/5648	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221610-5e2ccb9db7e8e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer01.svg	/Users/ruban/websites/nutzclone/nutz.in/assets/img/demo/creative-agency/parallax/layer01.svg	(from https://nutz.in/)
18:11:37	4577/4577	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2211e1-5e2ccb9db7e8e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer02.svg	/Users/ruban/websites/nutzclone/nutz.in/assets/img/demo/creative-agency/parallax/layer02.svg	(from https://nutz.in/)
18:11:38	1822/1822	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2271e-5e2ccb9db7e8e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer03.svg	/Users/ruban/websites/nutzclone/nutz.in/assets/img/demo/creative-agency/parallax/layer03.svg	(from https://nutz.in/)
18:11:39	4820/4820	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2212d4-5e2ccb9db7e8e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer04.svg	/Users/ruban/websites/nutzclone/nutz.in/assets/img/demo/creative-agency/parallax/layer04.svg	(from https://nutz.in/)
18:11:40	4841/4841	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2212e9-5e2ccb9db7e8e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer05.svg	/Users/ruban/websites/nutzclone/nutz.in/assets/img/demo/creative-agency/parallax/layer05.svg	(from https://nutz.in/)
18:11:41	10061/10061	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22274d-5e2ccb9db7e8e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer06.svg	/Users/ruban/websites/nutzclone/nutz.in/assets/img/demo/creative-agency/parallax/layer06.svg	(from https://nutz.in/)
18:11:42	9127/9127	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2223a7-5e2ccb9db7e8e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer07.svg	/Users/ruban/websites/nutzclone/nutz.in/assets/img/demo/creative-agency/parallax/layer07.svg	(from https://nutz.in/)
18:11:43	4633/4633	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221219-5e2ccb9db7e8e%22	https://nutz.in/assets/img/demo/creative-agency/parallax/layer08.svg	/Users/ruban/websites/nutzclone/nutz.in/assets/img/demo/creative-agency/parallax/layer08.svg	(from https://nutz.in/)
